"(323, 281)","(402, 346)","(481, 411)","(560, 476)","(639, 541)","(718, 606)","(797, 671)","(876, 736)","(955, 801)","(1034, 866)","(1113, 931)","(1192, 996)","(1271, 1061)","(1350, 1126)","(1429, 1191)","(1508, 1256)","(1587, 1321)"
"(400, 352)","(498, 434)","(596, 516)","(694, 598)","(792, 680)","(890, 762)","(988, 844)","(1086, 926)","(1184, 1008)","(1282, 1090)","(1380, 1172)","(1478, 1254)","(1576, 1336)","(1674, 1418)","(1772, 1500)","(1870, 1582)","(1968, 1664)"
"(485, 431)","(604, 532)","(723, 633)","(842, 734)","(961, 835)","(1080, 936)","(1199, 1037)","(1318, 1138)","(1437, 1239)","(1556, 1340)","(1675, 1441)","(1794, 1542)","(1913, 1643)","(2032, 1744)","(2151, 1845)","(2270, 1946)","(2389, 2047)"
"(578, 518)","(720, 640)","(862, 762)","(1004, 884)","(1146, 1006)","(1288, 1128)","(1430, 1250)","(1572, 1372)","(1714, 1494)","(1856, 1616)","(1998, 1738)","(2140, 1860)","(2282, 1982)","(2424, 2104)","(2566, 2226)","(2708, 2348)","(2850, 2470)"
"(679, 613)","(846, 758)","(1013, 903)","(1180, 1048)","(1347, 1193)","(1514, 1338)","(1681, 1483)","(1848, 1628)","(2015, 1773)","(2182, 1918)","(2349, 2063)","(2516, 2208)","(2683, 2353)","(2850, 2498)","(3017, 2643)","(3184, 2788)","(0, 0)"
"(788, 716)","(982, 886)","(1176, 1056)","(1370, 1226)","(1564, 1396)","(1758, 1566)","(1952, 1736)","(2146, 1906)","(2340, 2076)","(2534, 2246)","(2728, 2416)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(1128, 1024)","(1351, 1221)","(1574, 1418)","(0, 0)","(2020, 1812)","(2243, 2009)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(3804, 3388)","(4027, 3585)","(0, 0)","(0, 0)"
"(0, 0)","(1284, 1172)","(1538, 1398)","(1792, 1624)","(0, 0)","(2300, 2076)","(2554, 2302)","(2808, 2528)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(4332, 3884)","(4586, 4110)","(0, 0)","(5094, 4562)"
"(0, 0)","(1450, 1330)","(0, 0)","(0, 0)","(2311, 2101)","(2598, 2358)","(2885, 2615)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(1948, 1788)","(0, 0)","(0, 0)","(2914, 2658)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(5812, 5268)","(6134, 5558)","(6456, 5848)"
"(0, 0)","(0, 0)","(2171, 2001)","(2530, 2326)","(2889, 2651)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(3202, 2950)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(2653, 2463)","(3092, 2864)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(3394, 3154)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(3183, 2973)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(2892, 2716)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(4068, 3828)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
