"(260, 239)","(325, 297)","(390, 355)","(455, 413)","(520, 471)","(585, 529)","(650, 587)","(715, 645)","(780, 703)","(845, 761)","(910, 819)","(975, 877)","(1040, 935)","(1105, 993)","(1170, 1051)","(1235, 1109)","(1300, 1167)"
"(328, 304)","(410, 378)","(492, 452)","(574, 526)","(656, 600)","(738, 674)","(820, 748)","(902, 822)","(984, 896)","(1066, 970)","(1148, 1044)","(1230, 1118)","(1312, 1192)","(1394, 1266)","(1476, 1340)","(1558, 1414)","(1640, 1488)"
"(404, 377)","(505, 469)","(606, 561)","(707, 653)","(808, 745)","(909, 837)","(1010, 929)","(1111, 1021)","(1212, 1113)","(1313, 1205)","(1414, 1297)","(1515, 1389)","(1616, 1481)","(1717, 1573)","(1818, 1665)","(1919, 1757)","(2020, 1849)"
"(488, 458)","(610, 570)","(732, 682)","(854, 794)","(976, 906)","(1098, 1018)","(1220, 1130)","(1342, 1242)","(1464, 1354)","(1586, 1466)","(1708, 1578)","(1830, 1690)","(1952, 1802)","(2074, 1914)","(2196, 2026)","(2318, 2138)","(2440, 2250)"
"(580, 547)","(725, 681)","(870, 815)","(1015, 949)","(1160, 1083)","(1305, 1217)","(1450, 1351)","(1595, 1485)","(1740, 1619)","(1885, 1753)","(2030, 1887)","(2175, 2021)","(2320, 2155)","(2465, 2289)","(2610, 2423)","(2755, 2557)","(0, 0)"
"(680, 644)","(850, 802)","(1020, 960)","(1190, 1118)","(1360, 1276)","(1530, 1434)","(1700, 1592)","(1870, 1750)","(2040, 1908)","(2210, 2066)","(2380, 2224)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(985, 933)","(1182, 1117)","(1379, 1301)","(0, 0)","(1773, 1669)","(1970, 1853)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(3349, 3141)","(3546, 3325)","(0, 0)","(0, 0)"
"(0, 0)","(1130, 1074)","(1356, 1286)","(1582, 1498)","(0, 0)","(2034, 1922)","(2260, 2134)","(2486, 2346)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(3842, 3618)","(4068, 3830)","(0, 0)","(4520, 4254)"
"(0, 0)","(1285, 1225)","(0, 0)","(0, 0)","(2056, 1951)","(2313, 2193)","(2570, 2435)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(1740, 1660)","(0, 0)","(0, 0)","(2610, 2482)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(5220, 4948)","(5510, 5222)","(5800, 5496)"
"(0, 0)","(0, 0)","(1950, 1865)","(2275, 2173)","(2600, 2481)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(2896, 2770)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(2406, 2311)","(2807, 2693)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(3094, 2974)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(2910, 2805)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(2650, 2562)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(3756, 3636)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
